;Unnamed: 0;fecha;texto;retweets;favoritos;hashtags;menciones;localizacion;origen;topic;idioma;polaridad;subjetividad
0;1;2021-07-07 19:22:13;"Tuliwaambia wamejazama CCM bungeni hakuna kitu cha maana watafanya! Haya mkeka huu hapa wa makati ya kutuma hela

U… https://t.co/TX2lIWcYnk";201;1177;[];[];Exiled;Twitter for iPhone;Kitu;sw;0.0;0.0
1;2;2021-07-08 05:57:28;"""There’s no reason for me to be President when we say that the corrupt shouldn't be punished. People who misuse pub… https://t.co/TgnC5TFa4k";67;367;[];[];|| R2P ||;Twitter for iPhone;Kitu;en;-0.5;1.0
2;3;2021-07-08 09:05:40;"Nadhani sasa kila mmoja amerudi kwenye factory setting na kuachana na illusions na mauzauza 
👉hakuna kitu kimebadil… https://t.co/UOhlf5W1HP";77;642;[];[];Exiled;Twitter for iPhone;Kitu;sw;0.0;0.0
3;4;2021-07-08 05:47:18;"""In other countries you have kickbacks of 10%. In Kenya people get to demand 20 to 100 per cent as kickbacks. 

We… https://t.co/qMksLPWZL1";17;97;[];[];Nairobi, Kenya;Twitter Web App;Kitu;en;-0.125;0.375
4;5;2021-07-08 02:40:00;"Kitu gani kinajiri ulipo ? Tufahamishane @VincentAteya @MelodySinzore1 

#Jambokenya 
#Jambokenya 

#RadioNumberOne https://t.co/AxXDDjgpfz";17;24;['Jambokenya', 'Jambokenya', 'RadioNumberOne'];['VincentAteya', 'MelodySinzore1'];Communications Centre Nairobi;TweetDeck;Kitu;sw;0.0;0.0
5;6;2021-07-08 15:27:53;"#TBT early this year in #Tanzania - “invention” of steam rooms set up by Army to “prevent”
COVID19 - plan was to ta… https://t.co/S98wO6ELJt";29;126;['TBT', 'Tanzania'];[];Dar-esSalaam TANZANIA;Twitter for iPhone;Kitu;en;0.1;0.3
6;7;2021-07-06 19:15:14;"Glad you refreshed, ""Mwaka wote wanyama walifanya kazi kama watumwa,lakini walikuwa na furaha katika kazi zao,hawak… https://t.co/ib1x1R49Sr";66;255;[];[];Nairobi;Twitter for Android;Kitu;sw;0.5;1.0
7;8;2021-07-08 13:49:51;#HABARI Jeshi la polisi mkoani Arusha linamshikilia Melita Ndaletyan, mfugaji na mkazi wa Noondoto wilayani Longido… https://t.co/idglDr0Uz6;9;96;['HABARI'];[];East Africa;TweetDeck;Kitu;sw;0.0;0.0
8;9;2021-07-05 16:01:00;😱¡El lujo del Kitu Díaz como nunca lo viste! La recreación de los caños del jugador de @BarcelonaSC en la CONMEBOL… https://t.co/tDEM2il6Uu;537;1723;[];['BarcelonaSC'];;Twitter Media Studio;Kitu;es;0.0;0.0
9;10;2021-07-08 07:30:00;Rais anachaguliwa kuongoza nchi kupitia ilani ya chama chake, lakini pia anakuwa kiongozi wa wananchi wote ni lazim… https://t.co/A3EXersJ6a;4;4;[];[];Tanzania;TweetDeck;Kitu;sw;0.0;0.0
10;11;2021-07-06 10:25:43;Ukiona watu wanakusema sana ,usiwasikilize maneno yao bali angalia kitu kilichowekwa na Mungu ndani yako!.Kama Yesu… https://t.co/kIL0qx5GnT;140;1112;[];[];Exiled;Twitter for iPhone;Kitu;sw;0.0;0.0
11;12;2021-07-08 07:43:45;Mada ya sasa hivi: Ni kitu gani muhimu zaidi katika uhusiano wako? Sema nasi kwa simu, 0204445975 au 'sms', 22494… https://t.co/fu0WVw32x1;6;20;[];[];Kenya;Twitter for Android;Kitu;sw;0.0;0.0
12;13;2021-07-08 11:04:54;@mwala_harry Kapumzishwa hajawajibishwa ☹️ hiyo ya kupumzishwa kwenye cheo sioni kitu - kapumzika kidogo na watamrecycle;4;14;[];['mwala_harry'];Dar-esSalaam TANZANIA;Twitter for iPhone;Kitu;sw;0.0;0.0
13;14;2021-07-06 04:55:43;Sema Baba. Wakati wa Magufuli ulipotea Kabisaaa. Nadhani umejifunza Kitu na Kuona umuhimu wa Katiba Mpya. Tuidai wo… https://t.co/rBeLOhXq8H;79;480;[];[];Serengeti, Mara, Tanzania;Twitter for Android;Kitu;sw;0.0;0.0
14;1;2021-07-08 17:50:29;"“Mañana irán contra el vino.. después el queso…” 

Como si él no fuera “ellos”. 

Lo de este país es alucinante. https://t.co/qnZaSYAV0I";74;234;[];[];Spain & USA 🇪🇸🇺🇸🇪🇺💚;Twitter for iPhone;Queso;es;0.0;0.0
15;2;2021-07-07 20:00:00;El queso es la comida más robada del mundo, se hace con leche de todo, desde vacas, hasta Yaks del Himalaya, uno de… https://t.co/ai3G7cCdNH;21;76;[];[];América Latina;Twitter Media Studio;Queso;es;0.0;0.0
16;3;2021-07-08 11:15:43;Page advierte de los peligros de la ocurrencia de Garzón: «Mañana irán a por el vino y el queso» https://t.co/8NA6ux0sC3;25;74;[];[];Madrid;Echobox;Queso;es;0.0;0.0
17;4;2021-07-07 23:29:31;Algunos adultos cenan cheetos de mega queso y fanta, me han contado. Punto a favor de las arrugas y las canas.;24;465;[];[];;Twitter Web App;Queso;es;0.0;0.0
18;5;2021-07-07 23:52:34;"#Bolivia #P7Informa
El Comité de Defensa de Personas con discapacidad desconoce el acuerdo al que se llegó con el G… https://t.co/Im6EEK0qml";11;16;['Bolivia', 'P7Informa'];[];La Paz, Bolivia;Twitter Web App;Queso;es;0.0;0.0
19;6;2021-07-08 12:01:19;"Zamora una maravilla para contemplar en Castilla y León.
Su catedral, el románico, sus casas modernistas, su queso,… https://t.co/5t5epwq4jf";8;43;[];[];Castilla y León, España;Hootsuite Inc.;Queso;es;0.0;0.0
20;7;2021-07-06 18:06:52;"¿Habéis visto a las nutriinfluencers iluminadas haciendo ""queso ricota vegano""  sin gluten y sin lactosa cortando l… https://t.co/DAYqZBRRMu";96;711;[];[];Valencia 🌅 Mallorca;TweetDeck;Queso;es;0.0;0.0
21;8;2021-07-08 11:26:50;"🔴 Page también carga contra Garzón por su campaña para repensar el consumo de #carneARV: ""Se está inventando su car… https://t.co/grxdILPig4";9;24;['carneARV'];[];;Besocy_Oficial;Queso;es;0.0;0.0
22;9;2021-07-05 11:15:00;"Hola, @DominosPizza_ES 🙂

Somos muy fans de Louis Tomlinson y queremos que Kill My Mind suene en la #EURO2020 ¿Nos… https://t.co/uDSzXq0Evu";691;1961;['EURO2020'];['DominosPizza_ES'];;Twitter Web App;Queso;es;0.0;0.0
23;10;2021-07-08 15:54:57;[#FlorDeEquipo] Aprendé a hacer zapallitos rellenos gratinados con salsa de tomate y queso 😋 https://t.co/yxFKNEknLT;8;27;['FlorDeEquipo'];[];Argentina, Buenos Aires;Wildmoka;Queso;es;0.0;0.0
