;fecha;texto;retweets;favoritos;hashtags;menciones;localizacion;origen;topic
3;2021-07-01 15:00:10;"파란 하늘~~💙🤍
#태현 #TAEHYUN https://t.co/IUoNzWuZzn";62303;318195;['태현', 'TAEHYUN'];[];;Twitter for Android;taehyun
4;2021-07-03 06:40:47;"📢MOA(#모아) のみなさま 
『THE #MUSICDAY』🎶

#TOMORROW_X_TOGETHER 登場🎉

#SOOBIN
#YEONJUN
#BEOMGYU
#TAEHYUN
#HUENINGKAI

ひとつの夢で… https://t.co/Trw4vYgdQo";6313;20164;['모아', 'MUSICDAY', 'TOMORROW_X_TOGETHER', 'SOOBIN', 'YEONJUN', 'BEOMGYU', 'TAEHYUN', 'HUENINGKAI'];[];港区汐留と言いたいけど本当は東新橋;Twitter Web App;taehyun
5;2021-07-08 16:44:51;"Absolutely gorgeous performance by #TOMORROW_X_TOGETHER's TAEHYUN singing ""Let me"" (Original Song: ZAYN)… https://t.co/834ptdMM4b";10;27;['TOMORROW_X_TOGETHER'];[];Los Angeles;Twitter Web App;taehyun
6;2021-07-04 02:00:00;"#태현 의 야옹😺 이 왠지 들리는 것만 같아요♥
I think I can hear #TAEHYUN's meow
なんか #TAEHYUN のニャーが聞こえてるような気分

▶Notice:… https://t.co/MBuClpfD1u";1211;8649;['태현', 'TAEHYUN', 'TAEHYUN'];[];;Twitter Web App;taehyun
7;2021-06-30 17:25:00;"TXT’s Taehyun Gushes Over How Thoughtful BTS’s Jungkook Was During A Recent Workout Session They Had

https://t.co/OSvL2saN8h";852;4949;[];[];Worldwide;TweetDeck;taehyun
8;2021-07-03 02:49:43;"Netizens applaud TOMORROW x TOGETHER Taehyun's creative way of sneezing 'the correct way'
https://t.co/0mDkdEpjxO";469;2927;[];[];Worldwide;Twitter Web App;taehyun
9;2021-06-30 14:20:00;"#Taehyun from #TXT's #Jungkookhyung had the sweetest gift for him

https://t.co/KUvqVePVpL";383;1297;['Taehyun', 'TXT', 'Jungkookhyung'];[];Bollywood;TweetDeck;taehyun
10;2021-06-30 16:55:00;"Fan Mixes Up TXT’s Beomgyu With Taehyun, But Beomgyu Has The Best Reaction

https://t.co/x3Fo9y7Wx4";75;823;[];[];Worldwide;TweetDeck;taehyun
1;2021-07-07 15:55:05;Para ellos la violación de derechos humanos en Venezuela es abominable, pero en Colombia no. Lo niegan de manera de… https://t.co/VHdrRmVmhO;1766;5128;[];[];BOGOTA, COLOMBIA;Twitter for iPhone;Venezuela
2;2021-07-08 03:09:41;Muy significativo Acto de Graduación y Ascensos al Grado de Tenientes y Tenientes de Corbeta, 1052 cadetes que se f… https://t.co/ilnmDd9Y5Z;1340;1073;[];[];Venezuela;Twitter for Android;Venezuela
3;2021-07-07 19:05:02;Desde Venezuela expresamos la más enérgica condena ante el asesinato del Presidente, Jovenel Moïse. ¡Un hecho lamen… https://t.co/qE0TMIoTWX;2813;2886;[];[];Venezuela;Twitter for Android;Venezuela
4;2021-07-07 19:40:43;Cierran programas de televisión ( @JesusCintora )señalan a editores ( @eljueves ) y despiden a periodistas (… https://t.co/KZYt5zGFCq;1029;2260;[];['JesusCintora', 'eljueves'];San Fernando, Cádiz, España;Twitter for iPhone;Venezuela
5;2021-07-08 14:34:07;Hace 1 año, Venezuela se enlutó con la partida física del Primer Actor, Daniel Alvarado. Un extraordinario artista… https://t.co/tSoqFpDaCe;959;749;[];[];Venezuela;Twitter for Android;Venezuela
6;2021-07-07 15:38:28;Todos los pasos necesarios para ir a Venezuela. 👉Gesto electoral de Alberto Fernández para la CGT: los trabajadores… https://t.co/MPUoJxXur7;803;1477;[];[];Ciudad Autónoma de Buenos Aires, Argentina;Twitter for iPhone;Venezuela
7;2021-07-08 12:40:33;Sí hay precedentes para la empresa Gas Bienestar que quiere establecer AMLO: Gas Comunal en Venezuela, una filial d… https://t.co/ScYPzTQ2nd;857;1707;[];[];México;Twitter Web App;Venezuela
8;2021-07-07 13:55:27;A este flyer le falta una arepa y es la demostración absoluta que Colombia y Venezuela son dos gemelos que estudiar… https://t.co/jwNNLnZ9VF;347;2188;[];[];en la Web.;Twitter Web App;Venezuela
9;2021-07-08 12:08:12;Venezuela alcanzará este año, según el FMI, tres importantes récords: la mayor inflación (HIPERINFLACIÓN), la mayor… https://t.co/hv9EmOJAy6;1297;1309;[];[];Venezuela;Twitter Web App;Venezuela
10;2021-07-07 11:05:29;"Hay quien haga en Haití lo que hace rato debió ocurrir en Venezuela.
Eso dijo Bolívar cuando fue a hablar con Petio… https://t.co/MGANqLVhAo";379;1228;[];[];Alemania;Twitter Web App;Venezuela
11;2021-07-07 23:11:28;Magnicidio en #Haiti, brutal represión en #Nicaragua, crisis migratoria en #Centroamérica, la peor crisis humanitar… https://t.co/fe1J4gGOAl;763;2127;['Haiti', 'Nicaragua', 'Centroamérica'];[];Costa Rica. México. Washington;Twitter for iPhone;Venezuela
12;2021-07-07 10:37:53;"Así están las cosas en Venezuela:
Si Maduro usurpa y controla Miraflores, está solicitado por la DEA, con juicio pe… https://t.co/5J9Qvy3nZ6";276;537;[];[];Caracas, Venezuela;Twitter Web App;Venezuela
13;2021-07-07 19:13:22;"Agenda @IvanDuque 07/07/2021
1. Rechazo a informe de CIDH sobre Colombia.
2. Llamado a comunidad internacional para… https://t.co/VwwNB8GMiZ";1044;3582;[];['IvanDuque'];;Twitter Web App;Venezuela
14;2021-07-07 22:00:52;"Intervención en Haití y elecciones en Venezuela.

El bobolongo Guaidó es traidor a la patria. https://t.co/nqu29pvI80";316;468;[];[];Madrid, España;Twitter for Android;Venezuela
15;2021-07-07 18:07:56;La @CIDH que nunca condenó las masacres de las FARC, que guarda silencio frente a la dictadura en Venezuela, que no… https://t.co/HiHU9aZVEY;851;1186;[];['CIDH'];Hispanoamerica;Twitter for iPhone;Venezuela
1;2021-07-07 17:03:27;[UCC] Kim Seokjin becomes the showstopper of #LVMenFW21 collection https://t.co/6vE3Gb6gxL;2362;8926;['LVMenFW21'];[];Worldwide;Twitter Web App;seokjin
2;2021-07-07 10:10:59;i could watch seokjin sweeping around in a long plaid coat for hours on end;779;4456;[];[];uk / eleanor.bate@buzzfeed.com;Twitter for iPhone;seokjin
3;2021-07-07 10:22:20;"Seokjin, the aura he possesses ✨ this felt like he was in a thriller drama 

#BTSxLouisVuitton #BTS 
https://t.co/snKJrPn94c";863;3299;['BTSxLouisVuitton', 'BTS'];[];Mumbai India ;Twitter for Android;seokjin
4;2021-07-07 10:28:12;Kim Seokjin though!!!! https://t.co/uVKXX2mUWj;608;4177;[];[];Philippines;Twitter for iPhone;seokjin
5;2021-07-07 02:14:33;Visualnya konsisten dari debut sampai sekarang https://t.co/2e92GVvdiz;519;1588;[];[];Indonesia;dlvr.it;seokjin
6;2021-07-07 10:00:02;Seokjin casually exposing Yoongi for having bear-themed underwear in front of thousands of fans: https://t.co/6BxvjXDmRd;23;241;[];[];Republic of the Philippines;Twitter Web App;seokjin
7;2021-07-01 04:22:09;seokjin;742;6454;[];[];Washington, DC;Twitter Web App;seokjin
8;2021-07-05 09:25:00;"Comedian Ji Seokjin Apologized To BTS For His Cover Of “Dynamite,” But Jin’s Response Was Heartwarming

https://t.co/6C2aIuBAvD";642;3596;[];[];Worldwide;TweetDeck;seokjin
1;2021-07-08 00:05:27;"จากที่มีประชาชนสงสัยว่า การที่รัฐบาลไม่ยอมเปิดเผยวงเงินงบประมาณที่จัดซื้อวัคซีน Pfizer 20 ล้านโดส

อาจเป็นเพราะว่า… https://t.co/BZmYrVfPhi";32312;11984;[];[];Thailand;Twitter for Android;Pfizer
2;2021-07-07 18:16:36;Fica a lição: se quiser vender vacina pro Governo Brasileiro, não mande e-mail que nem a Pfizer, marca um Chopp no… https://t.co/t9K9TLT6np;5622;46164;[];[];Amapá, Brasil;Twitter for iPhone;Pfizer
3;2021-07-07 18:51:00;A 13 year old boy named Jacob Clynick died in his sleep three days after getting his second dose of the Pfizer vacc… https://t.co/iJBZ1lbo8A;6734;14570;[];[];Washington D.C.;Twitter Web App;Pfizer
4;2021-07-08 09:34:06;การทูตของเกาหลีใต้มีประสิทธิภาพมากๆ หลังจากดีลกับอิสราเอล โดยให้ส่งมอบวัคซีน Pfizer ที่มีเกิน มาให้เกาหลีใต้ฉีดก่อน… https://t.co/l6OFHAXEqm;3310;904;[];[];Thailand;Twitter Web App;Pfizer
5;2021-07-08 09:13:12;"-Chegaram mais 600 mil doses da vacina da Pfizer na noite de ontem (7).

-Remessa faz parte das 7 milhões de doses… https://t.co/LOr4J2PhEu";4116;22764;[];[];Brasília, Brasil;Twitter for iPhone;Pfizer
6;2021-07-07 12:18:12;"วัคซีน Pfizer 20 ล้านโดส ใช้งบประมาณเท่าไหร่

วัคซีน Moderna 5 ล้านโดส ที่เป็นมติลับ ใช้งบประมาณเท่าไหร่

ประชาชนต้… https://t.co/VcDMlQnAcp";10010;4730;[];[];Thailand;Twitter for Android;Pfizer
7;2021-07-08 00:17:21;"Chegaram! 600 mil doses da vacina Pfizer que acabaram de pousar em Viracopos (SP). 🛬
A remessa faz parte das 7 milh… https://t.co/iScMqsS4hW";779;4391;[];[];João Pessoa-PB;Twitter for iPhone;Pfizer
8;2021-07-07 14:46:03;Deixa eu ver se entendi: em vez de mandar mais de 100 e-mails formais oferecendo vacinas, seria mais efetivo se a P… https://t.co/p6AHqZWhT2;661;6195;[];[];Rio de Janeiro - RJ;Twitter Web App;Pfizer
9;2021-07-07 15:17:47;The teen’s father, Fabio Berlingieri, said his son was vaccinated on June 15, and about a week later started compla… https://t.co/AFDpH8vG4F;3564;5183;[];[];Los Angles, California;TweetDeck;Pfizer
10;2021-07-07 18:09:52;UK health chiefs sneak out warnings on Pfizer and Moderna's Covid vaccine https://t.co/GXRcCGRQX0;905;987;[];[];;SocialFlow;Pfizer
11;2021-07-08 07:40:09;นี่คือภาพรวมการเปรียบเทียบประสิทธิภาพล่าสุดของวัคซีนชนิดเชื้อตายอย่าง Sinovac และวัคซีนชนิด mRNA อย่าง Pfizer-BioNT… https://t.co/2W7XcpWDO3;1059;363;[];[];Thailand;Twitter Web App;Pfizer
12;2021-07-07 15:49:03;Hoy arribaron al país dos embarques de vacunas: un millón de dosis de SinoVac y 232 mil 830 dosis de Pfizer BioNTec… https://t.co/cFFGzCR9tJ;1168;4335;[];[];;Twitter Web App;Pfizer
13;2021-07-07 17:23:46;Eu entenderia muito mais essa iniciativa por “urgência de 400M de doses de vacinas” que se relata à CPI se não esti… https://t.co/v2hOZCuCmX;600;6164;[];[];São Paulo;Tweetbot for iΟS;Pfizer
1;2021-07-08 16:33:15;#HappyBirthdayToARMY 💜 https://t.co/Nny2NLIffz;485;1751;['HappyBirthdayToARMY'];[];Worldwide;Twitter for iPhone;#HappyBirthdayToARMY
2;2021-07-08 15:26:21;"no better place to be 💜

#HappyBirthdayToARMY
#HappyARMYDay
#생일축하해_아미 https://t.co/1Z4Tj2pInd";291;768;['HappyBirthdayToARMY', 'HappyARMYDay', '생일축하해_아미'];[];uk / eleanor.bate@buzzfeed.com;Twitter for iPhone;#HappyBirthdayToARMY
3;2021-07-08 15:55:35;"Happy 8th Birthday to us, #BTSARMY! 🥳🥳🥳

PROUD is really an understatement with the intelligence, talent, hard work… https://t.co/FRJYX77uro";40;107;['BTSARMY'];[];Geneva, SWITZERLAND;Twitter for iPhone;#HappyBirthdayToARMY
4;2021-07-08 16:39:02;Celebrating my first official #HappyBirthdayToARMY 💜 Have a great day to all Amiiiiiis!!!💜;18;132;['HappyBirthdayToARMY'];[];Republic of the Philippines;Twitter for Android;#HappyBirthdayToARMY
5;2021-07-08 18:16:56;Hoje tô me sentindo assim 💜 #HappyBirthdayToARMY https://t.co/xsQHOrsOeV;15;206;['HappyBirthdayToARMY'];[];Brasil;Twitter Web App;#HappyBirthdayToARMY
6;2021-07-08 17:57:16;"#HappyBirthdaytoARMY, you're dynamite. 🧨 

Tap the link to celebrate in style! https://t.co/lURK56lyUn https://t.co/KMpHQv9k0U";4;15;['HappyBirthdaytoARMY'];[];;Twitter Web App;#HappyBirthdayToARMY
7;2021-07-08 17:08:05;O aniversário é nosso e o presente tb é nosso 😅💜 #HappyBirthdayToARMY;6;51;['HappyBirthdayToARMY'];[];Brasil;Twitter Web App;#HappyBirthdayToARMY
1;2021-07-08 02:04:57;“Actually #BTS stands for the Bangtan Boys and we have our plans that it could be like the Bangtan Papas or Bangtan… https://t.co/FaamIOOxax;196;496;['BTS'];[];Geneva, SWITZERLAND;Twitter for iPhone;namjoon
2;2021-07-08 02:30:44;"“For me, I remember because of COVID-19, I was so angry by myself at home that our tour plans &amp; concerts were getti… https://t.co/LYqLDIFrx3";132;389;[];[];Geneva, SWITZERLAND;Twitter for iPhone;namjoon
3;2021-07-06 15:29:09;"Sir Kim Namjoon went from Seoul Town Road to Permission to Dance 😌

#PermissiontoDance #BTS https://t.co/8mMt6jJ5au";242;1311;['PermissiontoDance', 'BTS'];[];Mumbai India ;Twitter for Android;namjoon
1;2021-07-08 17:20:25;Just to let you all know . I’m a Tik Tok star now . @charlidamelio @dixiedamelio give me a shout;26393;152364;[];['charlidamelio', 'dixiedamelio'];Mullingar,Westmeath,Ireland;Twitter for iPhone;Tik Tok
2;2021-07-08 12:43:48;"𝗘𝗟 𝗙𝗜𝗚𝗨 🌟

De Camas 🇪🇸 a Paris 🇫🇷

❤️💙 Tik Tok ➡️ https://t.co/fDKuRbjgPw https://t.co/G3CgtSjAkT";185;1288;[];[];Parc des Princes, Paris;Twitter Media Studio;Tik Tok
3;2021-07-08 15:03:22;"gonna be playing playing My House live for the first time on Tik Tok at 7pm BST!!!! x
https://t.co/VbYd1MSTEH
📸 Reu… https://t.co/ld8PMUAFlj";99;1236;[];[];🌞🌞;Twitter for iPhone;Tik Tok
4;2021-07-07 15:23:08;"DIRECTO EN TIK TOK

17:50h

SALIDA MI OTRA MITAD💔";112;580;[];[];;Twitter for iPhone;Tik Tok
5;2021-07-07 20:27:35;That time my crazy Aunt made a Tik Tok https://t.co/RFN2avvcYh;40;441;[];[];Chickamauga, GA;Twitter for iPhone;Tik Tok
6;2021-07-07 19:06:42;@Cuauhtemoc_1521 @MunozZurita @akhusharmuta @jaureliofc @CarlosTorresF_ @trinomonero @ChefJuanArroyo @chef_betty… https://t.co/QWZq7kScJF;41;230;[];['Cuauhtemoc_1521', 'MunozZurita', 'akhusharmuta', 'jaureliofc', 'CarlosTorresF_', 'trinomonero', 'ChefJuanArroyo', 'chef_betty'];La Gran Tenochtitlan Mexico;Twitter for iPhone;Tik Tok
7;2021-07-07 00:04:05;¿A qué nivel de señorismo llegué si no me enteré que Tik Tok no servía hasta que entré a Twitter?;54;1051;[];[];Your brain;Twitter for iPhone;Tik Tok
8;2021-07-07 22:44:41;Haha I was not aware. What’s your favourite of the comments? I don’t wanna download tik tok to read em haha https://t.co/AGWGXdsV6V;24;918;[];[];Here and there;Twitter for iPhone;Tik Tok
9;2021-07-07 16:37:22;“vocês deveriam fazer uma banda” kkkkkk os comentarios no tik tok do angel22😂💜;30;453;[];[];;Twitter for iPhone;Tik Tok
10;2021-07-08 01:43:12;Me tornei a pessoa que escuta uma música no tik tok, vicia e vai ouvir no spotify;24;338;[];[];Salvador, Brasil;Twitter Web App;Tik Tok
11;2021-07-07 02:16:36;A lot of y’all are singing this on Tik tok…. Who thinks we should put this out next? #TruthAboutYou https://t.co/Iqu0gGBpfb;17;284;['TruthAboutYou'];[];Nashville Tennessee;Twitter for iPhone;Tik Tok
12;2021-07-08 13:30:16;"Is Tik Tok racist; Pepsi pledges $10M for Black restaurants; actress Suzzanne Douglas dies https://t.co/cfdrjzbVQY";10;27;[];[];Washington, D.C.;Periscope;Tik Tok
13;2021-07-03 07:00:00;"#THEMUSICDAY にて披露した #TOMORROW_X_TOGETHER の「Magic」いかがでしたか？✨
 
Tik Tok #Magic_Moves で「あなたのMagic」動画イベント開催中！
応募締め切りは明日ま… https://t.co/LIZPbvEtrS";5022;31251;['THEMUSICDAY', 'TOMORROW_X_TOGETHER', 'Magic_Moves'];[];;Twitter Web App;Tik Tok
14;2021-07-08 17:41:23;No puedo creer que twitter me bajó el último video. Lo pueden ver en Instagram o tik tok.;11;329;[];[];;Twitter for iPhone;Tik Tok
15;2021-07-02 06:27:54;na hora mais inesperada o spotify do seu cérebro começa a reproduzir músicas do tik tok aleatoriamente;1568;17670;[];[];Brasil, São Paulo;Twitter for iPhone;Tik Tok
1;2021-07-07 16:50:51;Bangtan are really just the coolest people;903;6622;[];[];dc ⬌ chicago (she/her);Twitter for iPhone;bangtan
2;2021-07-07 11:47:18;"Ya tuhaann 😭😭~
Ampunnn @bts_twt emang punya kelasss!
Merinding aslii, apalagi liat JUNGKOOK 🥰
Gak salah emang colla… https://t.co/k4D6BeJxnZ";711;2502;[];['BTS_twt'];Indonesia;Twitter Web App;bangtan
3;2021-07-08 02:04:57;“Actually #BTS stands for the Bangtan Boys and we have our plans that it could be like the Bangtan Papas or Bangtan… https://t.co/FaamIOOxax;196;496;['BTS'];[];Geneva, SWITZERLAND;Twitter for iPhone;bangtan
4;2021-07-07 00:50:00;They call them idol, they call them artist, and now...models https://t.co/qhjV4d9bey;756;2242;[];[];Showbiz Land;TweetDeck;bangtan
5;2021-07-08 11:00:00;"BTS’s RM Gives Suggestions For The Future Name Of The Group—And One Is “Bangtan Grandpas”

https://t.co/W3SZKbnbJK";125;937;[];[];Worldwide;TweetDeck;bangtan
6;2021-07-04 05:00:07;"#BTS #방탄소년단 Butter Concept Photo Sketch
@ (https://t.co/n7N9jJUTg4) 
@ (https://t.co/bOLMzrl3kX)

#BTS_Butter… https://t.co/2AJ0gNByEV";332634;1185993;['BTS', '방탄소년단', 'BTS_Butter'];[];;Twitter Web App;bangtan
7;2021-07-07 16:44:04;Korean pop icons #BTS walk at Louis Vuitton’s Fall 2021 show in Seoul #Bangtan #Army #LouisVuitton  https://t.co/oTpJaAEi3b;55;338;['BTS', 'Bangtan', 'Army', 'LouisVuitton'];[];London, England;Echobox;bangtan
8;2021-07-06 16:14:56;"Who has watched the #PermissionToDance teaser? 😍🤠 

#bangtan #bts #btsarmy #btsbutter https://t.co/kBcDp6ze3X";425;1247;['PermissionToDance', 'bangtan', 'bts', 'btsarmy', 'btsbutter'];[];Dallas-Fort Worth, TX;iHeartMedia Publishing;bangtan
9;2021-07-05 01:43:00;@bangtan_facha @EURO2020 @vivo_europe done;3222;13870;[];['bangtan_facha', 'EURO2020', 'vivo_europe'];;Twitter Web App;bangtan
10;2021-07-02 15:00:00;"#ARMY #Entérate 
BTS, “Permission to dance”: ¿Cuándo y a qué hora se estrena el nuevo single de Bangtan?😱😱😱
Mira👀… https://t.co/PKf2GH3BQj";645;1979;['ARMY', 'Entérate'];[];NRM Comunicaciones;TweetDeck;bangtan
11;2021-07-06 15:38:17;@_SHAD0WS @spjm_bangtan They really said yeehaw 🤠 to the haters;103;1393;[];['_SHAD0WS', 'spjm_bangtan'];Manchester, England;Twitter for iPhone;bangtan
12;2021-07-04 05:13:14;We get Bangtan episodes for this I bet;285;2907;[];[];Republic of Namjoon;Twitter for iPhone;bangtan
1;2021-07-08 15:17:22;"Prohibido olvidar:
Moreno eliminó la UNA, ex ENAC, que nosotros encontramos en ruinas y reconstruimos.
Ya no hay pr… https://t.co/JcF2mjWUlo";263;416;[];[];Ecuador;Twitter for iPhone;#MorenoDebeResponder
2;2021-07-08 15:04:00;#MorenoDebeResponder https://t.co/8cox8xvsCB https://t.co/Lek0FuO7Si;339;555;['MorenoDebeResponder'];[];Ecuador;Twitter for iPhone;#MorenoDebeResponder
3;2021-07-08 15:10:09;"#MorenoDebeResponder | Porque generó la peor crisis de la historia; al finalizar su gestión 5.8 millones de ecuator… https://t.co/HHcn5tnODq";79;147;['MorenoDebeResponder'];[];🇪🇨 ;Twitter Web App;#MorenoDebeResponder
4;2021-07-08 15:50:45;"El informe que presentó Moreno a la @AsambleaEcuador sobre su último año, es más mediocre que su gestión.
Incorpora… https://t.co/r5p3uCjKIl";156;270;[];['AsambleaEcuador'];Ecuador;Twitter for iPhone;#MorenoDebeResponder
5;2021-07-08 15:37:32;#MorenoDebeResponder | En el Gobierno de Moreno se desatendió los temas de seguridad, y al desarmar el Ministerio d… https://t.co/RD7luXKvLS;53;100;['MorenoDebeResponder'];[];🇪🇨 ;Twitter Web App;#MorenoDebeResponder
6;2021-07-08 15:12:25;"#MorenoDebeResponder | Porque mientras miles de ecuatorianos no accedían a atención en plena pandemia; Moreno endeu… https://t.co/AfdorfaG62";38;65;['MorenoDebeResponder'];[];🇪🇨 ;Twitter Web App;#MorenoDebeResponder
7;2021-07-08 18:49:21;"Lenin Moreno duplicó la deuda externa pública ¿Dónde están esos recursos? 
No hizo obra pública.
No redujo la pobre… https://t.co/LmvJwIGMp4";11;23;[];[];Imbabura, Ecuador;Twitter for iPhone;#MorenoDebeResponder
8;2021-07-08 18:15:34;"#MorenoDebeResponder por el asesinato de #OscarYKatty y los tres periodistas asesinados: Efraín, Paul y Javier. 

L… https://t.co/AQWJVV6T2m";13;26;['MorenoDebeResponder', 'OscarYKatty'];[];Imbabura, Ecuador;Twitter for iPhone;#MorenoDebeResponder
9;2021-07-08 18:35:42;"#MorenoDebeResponder por destruir el país. 

Es tan claro el desmantelamiento del Estado, que @Lenin Moreno ni siqu… https://t.co/gLaLqemD04";4;7;['MorenoDebeResponder'];['Lenin'];Imbabura, Ecuador;Twitter for iPhone;#MorenoDebeResponder
1;2021-07-07 12:55:44;Fondo de Salud del IESS tiene recursos solo para un mes, advierte delegado de los empleadores al Consejo Directivo… https://t.co/L0TC6Myq8a;45;63;[];[];Guayaquil, Ecuador;Hootsuite Inc.;IESS
2;2021-07-08 00:32:10;"El fondo de salud del IESS estaría quebrado.
Así lo reveló César Rodríguez, vocal de los empleadores ante el consej… https://t.co/yyjiHiugPW";60;72;[];[];Ecuador;Mediastream Platform;IESS
3;2021-07-08 02:33:25;🛑”El fondo de salud del IESS está quebrado”, dice el delegado de los empleadores al Seguro Social, César Rodríguez.… https://t.co/vh1A20tdJz;19;23;[];[];Quito, Ecuador;Twitter for iPhone;IESS
4;2021-07-07 16:26:24;Según el delegado de los empleadores al Consejo Directivo, César Rodríguez, explicó que el Estado le debe al IESS u… https://t.co/JxLpJaHAMy;28;33;[];[];Guayaquil, Ecuador;Hootsuite Inc.;IESS
5;2021-07-07 01:11:47;El pleno de la asamblea decidió que, aunque el patrono se encuentre en mora con el IESS, los afiliados si podrán be… https://t.co/sZpoZoJWob;29;124;[];[];Ecuador;Mediastream Platform;IESS
6;2021-07-08 01:19:02;🔴En un mes ya no existirían los recursos en el Seguro Social para la atención en salud 👉🏽https://t.co/BiFPJscdUM https://t.co/WuNrbCQIDC;16;47;[];[];Ecuador;Twitter Web App;IESS
7;2021-07-06 03:48:14;Daniel Salcedo Bonilla fue sentenciado a trece años de prisión por peculado en la compra de insumos médicos en el h… https://t.co/vnjcCo4XXu;269;1100;[];[];Guayaquil, Ecuador;Hootsuite Inc.;IESS
8;2021-07-04 03:36:15;#ATENCIÓN | La Procuraduría General del Estado reveló el valor de los bienes de la excoordinadora del IESS, María S… https://t.co/QjPdoPagdk;82;132;['ATENCIÓN'];[];Guayaquil, Ecuador;Metricool;IESS
9;2021-07-01 00:01:24;Se acaba el tiempo. Se acaba la plata. Empieza la cuenta regresiva. El fondo de pensiones de la seguridad social se… https://t.co/TIRPGXMD3v;126;166;[];[];Guayaquil, Ecuador;Metricool;IESS
10;2021-07-06 04:29:52;Tribunal lo condenó a 13 años de cárcel junto con tres exfuncionarias del hospital Los Ceibos del IESS por el delit… https://t.co/p0HoL2sGZd;59;181;[];[];Guayaquil;Twitter for Advertisers.;IESS
1;2021-07-07 22:05:56;¿Qué tenía que hacer Jorge Guagua ofreciéndole un contrato con Emelec a Bryan Caicedo JUSTO DÍAS ANTES DEL CLÁSICO?… https://t.co/6OwX5QYJlw;228;555;[];[];Ecuador, Guayaquil;Twitter for Android;Guagua
2;2021-07-08 14:36:19;"SERÍA BUENO QUE GUAGUA DE EXPLICACIONES 

https://t.co/83Mf5Qq4Rw https://t.co/KLFshjLCeU";25;101;[];[];Ecuador, Guayaquil;Twitter for Android;Guagua
3;2021-07-07 15:39:13;Lo peor d'esta CC ha sido lo simbólico. El incidente infantil c/la canción nacional y la agresión a la relatora del… https://t.co/wPE4G9zpbm;27;56;[];[];Santiago, Chile;Twitter Web App;Guagua
4;2021-07-02 15:35:26;Foto:Stalin Bayas Escudero. QUITO desde el Guagua Pichincha 2:30am 30/06/21 https://t.co/FaWgnDoeI1;20;125;[];[];Guayaquil;Twitter for iPhone;Guagua
5;2021-07-04 18:35:36;🔴 Seremi confirma nuevo caso de variante Delta: Se trata de lactante que arribó de Estados Unidos ➡… https://t.co/Z7Id3lX4HO;61;71;[];[];Chile;TweetDeck;Guagua
6;2021-07-02 19:32:55;📌 #ÚLTIMAHORA: Una guagua arde en plena #Circunvalación de Las Palmas de Gran Canaria https://t.co/wpa5Kkdi0t;41;88;['ÚLTIMAHORA', 'Circunvalación'];[];Islas Canarias;Twitter for iPhone;Guagua
1;2021-07-08 02:50:24;"¡Regresa La LigaPro Betcris
Vive el clásico del astillero @BarcelonaSC VS @CSEmelec con nosotros. Participa registr… https://t.co/9T31rGCDWK";72;248;[];['BarcelonaSC', 'CSEmelec'];Ecuador;Twitter for iPhone;#LataPilsener
1;2021-07-08 00:01:30;La Zaifer y la Freezer. Las nuevas vacunas que llegan por audios y fotos en cadenas de WhatsApp 🤣🤣🤣;45;328;[];[];Guayaquil, Ecuador ;Twitter for Android;Freezer
2;2021-07-08 14:57:27;Bodega cat sleeping in the bags of chips is my favorite genre of bodega cat pic, but cat trying to keep cool by  sl… https://t.co/YBt9If9672;43;539;[];[];Texas, USA;Twitter for iPhone;Freezer
3;2021-07-07 09:14:05;#RecipeOfTheDay is my No-Churn Pina Colada Ice Cream - not exactly suited to this Great British Summer we’re having… https://t.co/lborrqEQPw;56;583;['RecipeOfTheDay'];[];London;Twitter for iPhone;Freezer
4;2021-07-08 00:30:06;Dice Rolled On Hot Dogs In Back Of Freezer https://t.co/r4VICLsr5Q? https://t.co/S8LqvRxFoA;48;1203;[];[];;Sprout Social;Freezer
5;2021-07-08 13:41:04;1/Na mitologia de Brasília, quando o poder de um político encolhe, nem o café é servido quente. Pesquisa @PoderData… https://t.co/ptf1Rw3io9;52;546;[];['PoderData'];Rio de Janeiro;Twitter Web App;Freezer
6;2021-07-08 14:05:05;"Be #prepared to keep food safe during a power outage:
• Put thermometers in your fridge &amp; freezer.
• Have a cooler… https://t.co/k2i51i4X4K";36;59;['prepared'];[];Atlanta, GA;Hootsuite Inc.;Freezer
7;2021-07-07 03:30:08;Cuando abrís el freezer y encontrás helado... https://t.co/Hnb8NXAhQk;23;149;[];[];Boedo;Twitter for iPhone;Freezer
8;2021-07-08 17:15:31;"Happy National Freezer Pop Day! 😎

Which flavor looks most refreshing? ⬇️🌈 https://t.co/BxIFIBoFsV";14;18;[];[];Chicago, IL;Twitter Web App;Freezer
9;2021-07-07 23:33:06;Rare Innu caribou skin coat discovered in Labrador freezer | Saltwire https://t.co/0NZkEGTZ1K https://t.co/ANCtgmH8xY;12;23;[];[];St. John's, Newfoundland;Echobox;Freezer
10;2021-07-08 13:52:14;My mom just sent me this picture of an old @DanMajerle Thunder bar that she’s saved in her freezer! #RallyTheValley… https://t.co/Hw3LCQwPFb;8;160;['RallyTheValley'];['DanMajerle'];Phoenix, AZ;Twitter for iPhone;Freezer
11;2021-07-08 04:24:54;La Freezer es la que congela el virus, confirma.;13;153;[];[];Guayaquil, Ecuador ;Twitter for iPhone;Freezer
